# Estado del proyecto — closed

*Generado: 2026-07-30*

| Código | Tipo | Descripción | Fecha |
| 00027 | change | En el panel de "Componentes" del modo edición, se añade una nueva columna en primer lugar de la tabla, con título "Orden", que contiene en cada fila un cuadro de texto numérico indicando la posición de ese componente (1 = el más arriba de todos en la... | 2026-07-25 |
| 00028 | change | En el modo edición, el panel flotante de "Componentes" (lista con columnas Orden/Id/Tipo/Acciones) pasa a tener un ancho por defecto de 400px en vez de los 300px actuales. El panel flotante de "Recursos" (galería de imágenes y tipografías), que hasta... | 2026-07-25 |
| 00029 | change | Se añade un nuevo tipo de elemento de tablero, "Ficha", pensado para representar meeples/tokens/fichas de juego. **Propiedad general:** - Bloqueado: igual que en el resto de elementos, por defecto desbloqueada (`false`). **Propiedades específicas:**... | 2026-07-25 |
| 00030 | fix | El texto del resultado que se muestra sobre la cara del componente "Dado" (cambio 00020) se ve demasiado pequeño en proporción al tamaño del propio dado, dificultando su lectura. Se espera que, para un mismo tamaño de dado, el número o texto del resu... | 2026-07-25 |
| 00031 | change | Este cambio tiene dos partes independientes: ### 1. Cursor de mano en cualquier elemento interactivo Al pasar el ratón por encima de cualquier elemento en el que se pueda pulsar (botones, pestañas, filas de listado seleccionables, items de galería, c... | 2026-07-25 |
| 00032 | change | En el modo juego, al colocar el cursor sobre cualquier componente de la mesa (un texto, un tablero o un dado), debe aparecer un tooltip con el formato "<Tipo de elemento>: <id de elemento>", para que el usuario pueda identificar qué es y cuál es cada... | 2026-07-25 |
| 00033 | fix | En modo edición, la pequeña etiqueta de identificación ("Tipo: id") que debería aparecer en la esquina superior izquierda de cualquier componente al pasar el ratón o al seleccionarlo (cambio 00032) no aparece en los componentes de tipo "cuadro de tex... | 2026-07-25 |
| 00034 | change | Se añade, en las propiedades generales de cualquier componente (aplica a los tres tipos existentes: cuadro de texto, tablero y dado), un nuevo check titulado **"Mostrar tooltip"**, desactivado por defecto. Comportamiento: - Si el check está **activad... | 2026-07-25 |
| 00035 | fix | En modo edición, la etiqueta de identificación ("Tipo: id") de un componente se posiciona por encima de la esquina superior izquierda del propio componente. Cuando un componente está situado muy cerca del borde superior de la mesa (como el componente... | 2026-07-25 |
| 00036 | change | Se añade un nuevo tipo de componente, "Visor de documentos" (junto a los tres ya existentes: cuadro de texto, tablero y dado), que muestra contenido renderizado sobre una hoja con fondo blanco. Propiedades específicas de este componente: | 2026-07-25 |
| 00037 | change | Se completa el conversor de Markdown a HTML (usado por el componente "Visor de documentos", añadido en el cambio 00036) para que cubra toda la sintaxis básica de Markdown descrita en https://www.markdownguide.org/basic-syntax/, en vez del subconjunto... | 2026-07-25 |
| 00038 | fix | En el componente "Visor de documentos" con formato Markdown, una lista con elementos anidados (un ítem de lista dentro de otro) no queda anidada cuando el contenido hijo está indentado con solo 2 espacios respecto al ítem padre — que es la forma más... | 2026-07-25 |
| 00039 | change | Se amplía el parser Markdown del componente "Visor de documentos" (cambios 00036/00037) para reconocer la sintaxis de "lista de tareas" (task list, extensión habitual de Markdown más allá de la sintaxis básica de markdownguide.org ya cubierta): un ít... | 2026-07-25 |
| 00040 | change | Se sustituye el conversor de Markdown a HTML propio (`core/markdown.js`, desarrollado en los cambios 00036/00037/00038/00039 para el componente "Visor de documentos") por la librería de terceros **marked**, incrustada directamente en el código fuente... | 2026-07-25 |
| 00041 | fix | Al abrir el entregable recién generado (`src/_output/versions/index-v00023.html`), no aparece ninguno de los botones de la barra superior — de hecho no se llega a mostrar nada de la interfaz de la aplicación (ni la mesa, ni los paneles), como si la a... | 2026-07-25 |
| 00042 | change | En la parte superior del cuerpo de la ventana de recursos (justo debajo de la cabecera/título del panel, encima de la tabla de recursos), se añade un cuadro de texto de filtro con un texto de ejemplo tipo "Filtrar recursos…". **Comportamiento del fil... | 2026-07-25 |
| 00043 | change | Se añade un nuevo botón "Clonar" en la lista de componentes del modo edición, en la celda de acciones de cada fila, junto a los botones "Editar" y "Eliminar" que ya existen ahí. Comportamiento al pulsar "Clonar": - Se crea inmediatamente una copia co... | 2026-07-25 |
| 00044 | fix | En modo edición, cualquier componente sobre la mesa muestra siempre una pequeña etiqueta identificativa ("Tipo: id") anclada en su esquina superior izquierda, visible al pasar el ratón por encima o al estar seleccionado. Para el componente "Ficha" (c... | 2026-07-25 |
| 00045 | fix | Las fichas (piezas que se colocan sobre la mesa) pueden mostrar texto en su interior en lugar de una imagen o un color liso. Cuando el texto es más largo o el tamaño de la ficha es reducido, el texto debe ajustarse automáticamente para caber dentro d... | 2026-07-25 |
| 00046 | fix | En la ventana modal donde se ajusta la imagen de fondo de una ficha (posición y zoom), al arrastrar la imagen con el ratón para reposicionarla dentro del marco, el movimiento solo responde cuando se arrastra en horizontal. Al arrastrar en vertical, l... | 2026-07-25 |
| 00047 | change | Tres ajustes independientes sobre las propiedades de una ficha y sobre los recursos de la galería. **1. Grosor del borde en la misma fila que el color del borde, y nuevo orden de los campos** En el panel de propiedades de una ficha, el campo "Grosor... | 2026-07-25 |
| 00048 | fix | En cualquier ventana o modal del modo edición (por ejemplo el modal de propiedades o el de edición de imagen), si el usuario mantiene pulsado el botón izquierdo del ratón dentro de un control interactivo de esa ventana (por ejemplo, para seleccionar... | 2026-07-25 |
| 00049 | change | Al redimensionar cualquier elemento que permita ajustar ambos ejes (ancho y alto) libremente — ficha, tablero, dado, caja de texto, visor de documento — mantener pulsada cualquier tecla Shift mientras se arrastra el manejador de esquina fuerza un asp... | 2026-07-25 |
| 00050 | change | Se añade a la lista de componentes (el panel flotante "Componentes") un buscador de texto, igual al que ya existe hoy en la lista de recursos. Comportamiento: - Cuando el panel de componentes está expandido y hay al menos un componente, aparece un cu... | 2026-07-25 |
| 00051 | change | Se incorporan como recursos de imagen de la galería, disponibles para cualquier partida completamente nueva, todas las imágenes que hay hoy en las carpetas de objetos, mochila y eventos del proyecto: 25 imágenes de objetos (23 imágenes de frente de o... | 2026-07-25 |
| 00053 | change | Se añade un nuevo tipo de componente, "carta", junto con un editor dedicado para diseñar su aspecto y un sistema de "mazos" para agruparlas. ### Componente "carta" - Elemento rectangular con una relación de aspecto (proporción) configurada explícitam... | 2026-07-25 |
| 00054 | fix | Al crear o editar una carta, el desplegable de "Proporción" ofrece hoy más opciones de las que deberían existir (incluye formatos como "Horizontal ancha", "Vertical alargada", "Vertical estándar" y "Horizontal estándar" que no corresponden a ningún f... | 2026-07-25 |
| 00055 | change | En el modal "Elegir imagen" (usado tanto al elegir la imagen de fondo de un componente/tablero como al elegir la imagen de una carta), se añade un cuadro de texto de búsqueda encima de la galería de imágenes disponibles, para poder localizar rápidame... | 2026-07-25 |
| 00056 | fix | Al elegir un formato distinto en el desplegable "Proporción" de una carta (tanto desde la modal de configuración del componente como desde el editor de diseño de la carta), el valor se guarda pero la carta no cambia de forma en la mesa: se queda con... | 2026-07-25 |
| 00057 | fix | En modo edición, al seleccionar una carta o una ficha, aparece una etiqueta superpuesta sobre el componente mostrando su identificador. Esa etiqueta no se ve completa: el texto queda cortado por el borde del propio componente, en vez de mostrarse ent... | 2026-07-25 |
| 00058 | change | En la pantalla de ajuste de imagen del editor de cartas (donde se ve la cara que se está ajustando junto a "Otra cara" en modo solo lectura), se podrá pulsar sobre cualquiera de las dos caras para que esa pase a ser la cara activa (la que se puede ar... | 2026-07-25 |
| 00059 | change | La funcionalidad de "Exportar"/"Importar" (JSON de componentes, modo edición) se amplía para incluir todos los elementos del juego y todos los recursos, no solo un subconjunto de ellos. 1. **Exportar recursos completos**: hoy solo se exportan los rec... | 2026-07-25 |
| 00060 | change | Al ajustar la imagen de una carta (que tiene dos caras, frontal y trasera), la ventana emergente de ajuste muestra ambas caras a la vez, pero hoy la cara que se está editando ("Activa") siempre aparece a la izquierda y la otra cara ("Otra cara") siem... | 2026-07-25 |
| 00061 | change | Cada componente de la mesa (cualquier tipo: cuadro de texto, tablero, dado, visor de documentos, ficha, carta) incorpora una nueva propiedad "Subir al mover/interactuar", editable individualmente para cada componente desde la pestaña "Generales" de s... | 2026-07-25 |
| 00062 | change | En Modo Juego, arrastrar un componente sobre la mesa da ahora una sensación visual de que el componente se despega y vuelve a apoyarse en la mesa, en vez de deslizarse pegado a ella como hasta ahora. Comportamiento: - Al empezar a arrastrar un compon... | 2026-07-25 |
| 00063 | change | Revisión visual completa de la app para homogeneizar el estilo entre todos sus componentes y dar un aspecto más acabado y pulido al conjunto, relajando restricciones visuales antiguas que hoy limitan innecesariamente el aspecto de la app. Es un cambi... | 2026-07-25 |
| 00064 | change | En modo edición, las dos ventanas flotantes "Lista de componentes" y "Lista de recursos" ganan dos capacidades nuevas de ajuste manual: **1. Ancho de columnas ajustable.** En ambas tablas (Orden/Id/Tipo/Acciones para componentes; Nombre/Tipo/Acciones... | 2026-07-25 |
| 00065 | change | Hoy, en modo edición, "Exportar" descarga siempre un fichero con absolutamente todos los componentes, todos los recursos y todos los mazos del juego, sin poder elegir un subconjunto. "Importar" es todo-o-nada: tras elegir el fichero se pide una confi... | 2026-07-25 |
| 00066 | fix | En el modo edición, el panel flotante "Componentes" tiene un icono en la esquina superior derecha de su cabecera cuya función es colapsar o expandir la lista que muestra debajo (la tabla de componentes, la barra de filtro y el pie con las acciones).... | 2026-07-25 |
| 00067 | change | En Modo Juego, cuando el jugador empieza a arrastrar un componente movible (ficha, carta, dado, texto, tablero o documento — cualquier tipo que no esté "Bloqueado"), la mesa aplica un efecto visual de "levantar la ficha": la pieza se desplaza ligeram... | 2026-07-25 |
| 00068 | change | En la ventana de configuración del patrón del tablero, actualmente solo se puede cambiar el color del patrón. Se añade la posibilidad de cambiar también el grosor del patrón, junto al color existente. - Nuevo campo numérico "Grosor" en la ventana de... | 2026-07-25 |
| 00069 | change | En Modo Juego, al arrastrar un componente movible (ficha, carta, dado, texto, tablero o documento — cualquier tipo no bloqueado), la mesa aplica un efecto visual de "levantar la ficha": la pieza se desplaza ligeramente y gana una sombra más pronuncia... | 2026-07-25 |
| 00070 | fix | En el fondo "Color y patrón" de un tablero, con forma de casilla cuadrada/rectangular, las líneas de la cuadrícula solo se ven con nitidez en el borde izquierdo y en el borde superior del conjunto. El borde derecho y el borde inferior de la cuadrícul... | 2026-07-25 |
| 00071 | change | Se añade una nueva opción "Circular" al catálogo de proporciones disponibles para el componente "carta" (hoy: Poker vertical 5:7, Poker horizontal 7:5, Tarot vertical, Tarot horizontal, Cuadrada 1:1 — todas rectangulares con esquinas redondeadas fija... | 2026-07-25 |
| 00072 | change | En el editor de cartas (el sub-modal que se abre con doble click sobre un cuadro de texto de una cara), se añaden dos bloques nuevos de configuración a cada cuadro de texto, después del campo "Color" ya existente: 1. **Borde**: un check "Activar bord... | 2026-07-25 |
| 00073 | change | Al subir una imagen a la galería de recursos —tanto al dar de alta un recurso nuevo desde el panel "Recursos" en modo edición, como al reemplazar el fichero de un recurso ya existente desde su modal de edición— la imagen se convierte automáticamente... | 2026-07-25 |
| 00074 | fix | Al hacer clic simple sobre una carta del tablero, la carta debería darse la vuelta (mostrar su otra cara). Actualmente eso no ocurre: el clic solo produce un efecto de "levantar" la carta (un realce visual, como si se elevara sobre el tablero), pero... | 2026-07-25 |
| 00075 | change | Al voltear una carta (click sobre la carta en Modo Juego, interacción ya existente), debe percibirse un pequeño efecto visual justo en el momento del volteo — la carta se "levanta y baja rápidamente" — que confirme claramente al jugador que la acción... | 2026-07-25 |
| 00076 | change | Hoy, en el modo de edición, la galería de recursos solo permite añadir un recurso cada vez: se abre un selector de fichero y solo se puede elegir uno. Se añaden dos formas nuevas de añadir recursos, conviviendo con la actual (que se mantiene igual):... | 2026-07-25 |
| 00077 | change | El menú desplegable que aparece al pulsar el botón "+ Añadir recurso" en el panel de Recursos (con las opciones "Subir fichero", "Subir varios ficheros" y "Subir carpeta") pasa desapercibido hoy porque su fondo es blanco, casi sin diferenciarse del r... | 2026-07-25 |
| 00078 | change | Se añaden tres atajos de teclado de propósito general en el modo edición, pensados como equivalentes directos de botones ya existentes en cada contexto — no introducen ninguna acción, confirmación ni validación nueva, solo un atajo para disparar lo q... | 2026-07-25 |
| 00079 | change | Hoy existe el concepto de "mazo" (agrupación de cartas) en el juego, pero sin ningún panel de gestión propio: el único alta posible es crear un mazo al vuelo desde el desplegable "Mazo" de la configuración de una carta, sin poder editarlo ni eliminar... | 2026-07-25 |
| 00081 | fix | Actualmente el juego permite que existan dos o más mazos con exactamente el mismo nombre. Esto puede pasar en tres situaciones distintas: 1. **Al crear o renombrar un mazo desde la lista de mazos**: si se escribe un nombre que ya usa otro mazo existe... | 2026-07-25 |
| 00082 | change | Cambiar el comportamiento por defecto de la posición de apilado cuando se crea un nuevo componente en modo edición. **Comportamiento actual**: Al crear un componente nuevo, se le asigna automáticamente la posición más baja del orden de apilado (`orde... | 2026-07-25 |
| 00083 | change | Las ventanas flotantes del modo edición — "Componentes", "Recursos" y "Mazos" — hoy solo se pueden redimensionar en horizontal (arrastrando su esquina inferior derecha). Deben poder redimensionarse también en vertical, con el mismo manejador de esqui... | 2026-07-25 |
| 00084 | change | Cambiar el comportamiento por defecto de la posición de apilado cuando se clona un componente existente en modo edición, extendiendo a la clonación el mismo criterio que el cambio 00082 (ya implementado) fijó para la creación de componentes nuevos. *... | 2026-07-25 |
| 00085 | change | Se añaden dos acciones nuevas, **"Copiar estilo"** y **"Pegar estilo"**, disponibles en la modal de configuración de un componente cuando es de tipo carta (la misma modal general desde la que ya se accede a "Editar diseño de la carta", proporción y m... | 2026-07-30 |
| 00087 | change | Se elimina el tipo de componente "Ficha" del prototipo. Su caso de uso (piezas/tokens simples, cuadrados o circulares, con borde y fondo configurables) queda cubierto por el tipo "Carta", que desde el cambio 00071 ya admite una proporción "Circular"... | 2026-07-30 |
| 00088 | change | En modo juego, al pulsar el botón derecho del ratón sobre un elemento de la mesa, ese elemento queda seleccionado (resaltado con el mismo contorno discontinuo que ya usa el modo edición para su selección) y se abre, junto al cursor, un menú contextua... | 2026-07-30 |
| 00089 | change | El componente "Carta" tiene hoy seis proporciones disponibles en su propiedad "Proporción" (Poker estándar vertical 5:7, Poker estándar horizontal 7:5, Tarot estándar vertical, Tarot estándar horizontal, Cuadrada 1:1 y Circular). Se añaden dos propor... | 2026-07-30 |
| 00090 | fix | Al abrir el editor de cartas, el usuario ve una pantalla con: selector de proporción, cara frontal (con su imagen, botón "Elegir imagen…" y su borde), control de transparencia, botón "+ Texto", y cara trasera (con su imagen, botón "Elegir imagen…" y... | 2026-07-30 |
| 00091 | change | Al abrir con el botón derecho el menú contextual de un componente en modo juego, además de la sección general de acciones ya existente ("Bloquear"/"Desbloquear") y de la sección específica por tipo (todavía vacía, reservada para el futuro), el menú i... | 2026-07-30 |
| 00092 | change | En el editor de cartas (modal "Editor de cartas" del modo edición de componentes), el botón "Ajustar imagen…" se encuentra situado entre la cara frontal y la cara trasera de la carta. Con la disposición actual, ambas caras quedan muy separadas entre... | 2026-07-30 |
| 00093 | change | Al hacer click derecho sobre un componente en la mesa de juego se abre un menú contextual con opciones (por ejemplo, Bloquear/Desbloquear). Se añade a ese menú una primera línea, de solo lectura (no es una opción que se pueda pulsar), con la descripc... | 2026-07-30 |
| 00094 | fix | Cuando una carta tiene una proporción hexagonal ("Hexagonal (vértices arriba/abajo)" o "Hexagonal (vértices izquierda/derecha)"), en modo edición aparecen dos problemas sobre esa carta en la mesa: 1. **La etiqueta identificativa sale cortada.** Al pa... | 2026-07-30 |
| 00095 | fix | El componente "Carta" con proporción hexagonal ("Hexagonal (vértices arriba/abajo)" o "Hexagonal (vértices izquierda/derecha)", introducidas en el cambio 00089) ha tenido, en modo edición, dos síntomas relacionados a lo largo de su historial: 1. Tal... | 2026-07-30 |
| 00096 | fix | En el "Editor de cartas", cuando la proporción de la carta es hexagonal ("Hexagonal (vértices arriba/abajo)" o "Hexagonal (vértices izquierda/derecha)"), el borde configurado (color y grosor) de la cara frontal y de la cara trasera no se aplica corre... | 2026-07-30 |
| 00097 | change | Se añade una nueva forma de duplicar un componente: la "Copia". A diferencia de "Clonar" (que ya existe y crea una copia totalmente independiente y editable), una Copia queda permanentemente vinculada a su elemento original y se sincroniza automática... | 2026-07-30 |
| 00098 | fix | En el modo edición, las tres ventanas flotantes (Componentes, Recursos, Mazos) se pueden redimensionar arrastrando su borde. Ese nuevo tamaño se guarda y normalmente se mantiene aunque se recargue la página o se realicen otras acciones. Sin embargo,... | 2026-07-30 |
| 00099 | change | ### Parte 1: Alineación y márgenes del cuadro de texto Al editar un cuadro de texto de una cara de carta, además de poder elegir su tipografía y tamaño de fuente, ahora se podrá configurar cómo se alinea el texto dentro de los límites del propio cuad... | 2026-07-30 |
| 00100 | change | Se añade una nueva propiedad general "Oculto" a los componentes del proyecto (aplica a los cinco tipos existentes — texto, tablero, dado, documento, carta —, no a recursos ni a mazos, que no tienen representación propia en modo juego). - Valor por de... | 2026-07-30 |
| 00101 | change | En el modo edición hay varias ventanas flotantes independientes (actualmente: Componentes, Recursos y Mazos), cada una con su propia posición, tamaño y estado de colapso, que el usuario puede mover libremente por la pantalla y que a menudo terminan s... | 2026-07-30 |
| 00102 | change | La ventana "Ajustar imagen" (donde el usuario ajusta el zoom, la transparencia y la posición de la imagen de cada cara de una carta, o de otros elementos con una sola cara) es actualmente pequeña y debe agrandarse, de forma similar en tamaño a la ven... | 2026-07-30 |
| 00103 | change | Se añaden a los cuadros de texto de las caras de una carta (los que se editan haciendo doble click sobre un cuadro de texto dentro del editor de cartas) tres controles nuevos de formato: **negrita**, **cursiva** y **subrayado**. | 2026-07-30 |
| 00104 | change | Se añade a los cuadros de texto de las caras de una carta (los que se editan/mueven dentro del editor de cartas) la posibilidad de seleccionarlos y, estando seleccionados, moverlos con las flechas del teclado para un ajuste fino de su posición. Hoy e... | 2026-07-30 |
| fast-acorta-titulo-grosor-borde_20260723 | fast | En las ventanas de propiedades donde se configura el grosor del borde de un elemento (tablero y ficha), la etiqueta del campo era demasiado larga ("Grosor del borde (px)" y "Grosor del borde (px, 0 = sin borde)"). Se ha sustituido en ambos casos por... | 2026-07-23 |
| fast-ancho-secciones-modal_20260724 | fast | Las secciones encuadradas (`.modal__section`, patrón introducido en el cambio 00072: bloques "Borde"/"Fondo" del cuadro de texto de carta, y "Borde"/"Fondo"/"Forma" de "Tablero"/"Ficha") dejaban demasiado espacio en blanco entre el marco de la secció... | 2026-07-24 |
| fast-boton-texto-junto-elegir-imagen_20260728 | fast | En el Editor de cartas, el botón "+ Texto" de cada cara (frontal/trasera) aparecía debajo de los controles de Borde, al final de la fila de acciones. Ahora aparece justo al lado de "Elegir imagen...", en la parte superior de esa fila, antes de los co... | 2026-07-28 |
| fast-centrar-boton-ajustar-imagen_20260721 | fast | El botón único "Ajustar imagen…" del editor de cartas (debajo de las dos columnas de caras) aparecía alineado a la izquierda. Ahora se muestra centrado horizontalmente bajo las dos caras. | 2026-07-21 |
| fast-centrar-control-zoom-modal-ajuste-imagen_20260721 | fast | En el modal "Ajustar imagen" (`src/ui/imageAdjustModal.js`), el control con el valor numérico del zoom y el símbolo "%" (debajo del slider) aparecía alineado a la izquierda en vez de centrado bajo el propio slider. Ahora se muestra centrado horizonta... | 2026-07-21 |
| fast-contador-de-elementos-en-titulo-de-listas_20260724 | fast | Se pedía que el título de los paneles flotantes "Componentes" y "Recursos" (modo edición) mostrara, entre paréntesis, cuántos elementos se están viendo en ese momento — el total si no hay filtro activo, o el número de coincidencias si el usuario ha e... | 2026-07-24 |
| fast-corrige-nombres-orientacion-formatos-carta_20260721 | fast | En el desplegable "Proporción" de una carta, los formatos "Poker" y "Tarot" tenían la orientación cambiada en su nombre respecto a la forma real que producen (un formato marcado como "horizontal" resultaba en una carta vertical, y viceversa). Se ha c... | 2026-07-21 |
| fast-etiqueta-encima-dibujo-componente_20260719 | fast | La etiqueta de identificación de componente en modo edición (cambio 00032, ajustada en 00035) quedaba tapada por el propio dibujo del componente en el caso del "dado": su silueta (SVG) y el resultado se pintaban por encima de la etiqueta, dejándola i... | 2026-07-19 |
| fast-fila-color-grosor-borde-tablero_20260723 | fast | En la ventana de propiedades específicas del tablero, los campos "Color del borde" y "Grosor" se mostraban en filas separadas, una debajo de la otra. Se han colocado en la misma fila, igual que ya ocurría en las propiedades específicas de la ficha (ú... | 2026-07-23 |
| fast-invertir-flechas-orden-lista_20260719 | fast | En el panel de "Componentes" del modo edición, el cuadro de texto numérico de la columna "Orden" (cambio 00027) mostraba las flechas de incremento/decremento nativas del `<input type="number">`. Tras varios intentos de invertir su sentido sin buen re... | 2026-07-19 |
| fast-mueve-boton-ajustar-imagen-entre-caras_20260725 | fast | En el editor de cartas del modal de edición de componentes, el botón "Ajustar imagen…" estaba posicionado al pie del modal, después de ambas caras. Ahora está situado visualmente entre la cara frontal y la cara trasera, haciendo más lógica la navegac... | 2026-07-25 |
| fast-reduce-ancho-desplegable-fondo_20260718 | fast | En la ventana de configuración de las propiedades del tablero, el desplegable para elegir el tipo de fondo ("Color y patrón" / "Imagen") ocupaba demasiado espacio horizontal junto al botón "Configurar fondo", dejando a este último muy poco sitio. Se... | 2026-07-18 |
| fast-sanitiza-espacios-id-componente_20260718 | fast | En la ventana de configuración de un componente (pestaña "Generales"), si el usuario escribe un espacio en blanco dentro del campo "ID del componente", este se sustituye automáticamente por un guion bajo (`_`) mientras escribe, en vez de dejar el esp... | 2026-07-18 |
| fast-separar-boton-ajustar-imagen_20260721 | fast | El botón único "Ajustar imagen…" del editor de cartas, ya centrado (ver `fast-centrar-boton-ajustar-imagen_20260721`), quedaba pegado justo debajo de las dos caras. Ahora tiene un pequeño margen superior que lo separa de ellas. | 2026-07-21 |
| fast-sube-boton-ajustar-imagen-centrado-con-canvas_20260727 | fast | En el editor de cartas, el botón "Ajustar imagen…" (situado entre la cara frontal y la cara trasera) se mostraba centrado verticalmente respecto a toda la columna de cada cara — es decir, contando también la fila "Borde" (Color/Grosor) y el botón "+... | 2026-07-27 |
